mask_name,target_area_frac,target_perimeter,target_components,target_compactness,target_edge_density,shift_target_printed,iou_target_pixelILT,xor_target_pixelILT,iou_target_printed,xor_target_printed,comp_delta_target_printed,iou_pixelILT_litho_t0.30,xor_pixelILT_litho_t0.30,iou_pixelILT_litho_t0.40,xor_pixelILT_litho_t0.40,iou_pixelILT_litho_t0.50,xor_pixelILT_litho_t0.50,iou_litho_resist_t0.30,xor_litho_resist_t0.30,iou_litho_resist_t0.40,xor_litho_resist_t0.40,iou_litho_resist_t0.50,xor_litho_resist_t0.50,iou_resist_printed_t0.30,xor_resist_printed_t0.30,comp_delta_resist_printed_t0.30,iou_resist_printed_t0.40,xor_resist_printed_t0.40,comp_delta_resist_printed_t0.40,iou_resist_printed_t0.50,xor_resist_printed_t0.50,comp_delta_resist_printed_t0.50,iou_resist_printed_mean,iou_resist_printed_std
AND2_X4__0_0.png,0.03193950653076172,3286.0,2.0,80.60222149173956,0.0007834434509277344,5.569437870630606,0.3912293459510273,0.60877065404894,0.9150022746282879,0.08499772537163867,0,0.15597461147658795,0.8440253885233779,0.025974735964518755,0.974025264035447,0.0,0.9999999999999658,0.3283509854807934,0.6716490145191364,0.05662063726146961,0.9433793627384558,0.0,0.9999999999999213,0.8909588272426954,0.1090411727572344,0,0.9460904798080658,0.05390952019185965,0,0.9999999999999213,0.0,0,0.9456831023502276,0.04451680436541287
AND3_X2__0_0.png,0.07172656059265137,5502.0,4.0,100.62392676545366,0.0013117790222167969,13.918298335938964,0.5161236964290423,0.4838763035709384,0.9282953071371198,0.07170469286284782,0,0.3593748423484707,0.6406251576515091,0.19758563532531948,0.8024143646746601,0.052740451276882705,0.9472595487230968,0.5794455334639976,0.4205544665359712,0.3252743534433569,0.6747256465566105,0.09007004281146391,0.9099299571885022,0.9186626839664918,0.08133731603347703,0,0.9605998197547181,0.03940018024524938,0,0.9999966130282913,3.3869716747557693e-06,0,0.9597530389165003,0.03320983571673149
AND3_X2__0_1.png,0.07985186576843262,6458.0,4.0,124.52343971562263,0.0015397071838378906,10.536415860641105,0.49768062791868606,0.5023193720812966,0.9302486391054603,0.06975136089451023,0,0.3274974733442419,0.6725025266557395,0.16980240356483456,0.8301975964351467,0.026614823522319177,0.973385176477662,0.515571895471139,0.4844281045288326,0.2790116105983841,0.7209883894015862,0.046506702546467875,0.953493297453501,0.9101118818083379,0.08988811819163367,0,0.9558559094968456,0.044144090503124615,0,0.9999999999999688,0.0,0,0.9553225971017175,0.03669860818969614
AND3_X4__0_0.png,0.05243682861328125,5930.0,3.0,159.88696711698,0.0014138221740722656,3.1520161878578823,0.41711024416047277,0.5828897558395065,0.9072579572361892,0.09274204276376641,0,0.09325876339371446,0.9067412366062642,0.007023478854434386,0.9929765211455441,0.0,0.9999999999999785,0.18851023286581867,0.8114897671341397,0.014591509097394996,0.9854084909025603,0.0,0.9999999999999524,0.8744846122161622,0.1255153877837961,0,0.937321619693144,0.06267838030681133,0,0.9999999999999524,0.0,0,0.9372687439697529,0.05124145613017124
AND3_X4__0_1.png,0.03265833854675293,3814.0,2.0,106.19581103595299,0.0009093284606933594,4.625201357391676,0.36215403875216085,0.6378459612478109,0.9111494914603074,0.08885050853962138,0,0.0771506494707138,0.9228493505292573,0.005090602320528674,0.9949093976794424,0.0,0.999999999999971,0.17750598245146385,0.8224940175484696,0.012535393634124974,0.9874646063658038,0.0,0.9999999999999241,0.8768545599573998,0.12314544004253368,0,0.9384755481566185,0.06152445184331031,0,0.9999999999999241,0.0,0,0.938443369371314,0.05027392052494283
AND4_X1__0_0.png,0.07125735282897949,5426.0,5.0,98.50765704693096,0.0012936592102050781,14.771842500832365,0.5326718568160734,0.4673281431839065,0.9299286167616175,0.07007138323834967,0,0.3871050576614154,0.6128949423385636,0.18517764300850434,0.8148223569914744,0.018396798239203118,0.9816032017607753,0.6149090171571073,0.385090982842861,0.3100251679239502,0.6899748320760167,0.030320833934595285,0.9696791660653703,0.9223587721911013,0.07764122780886702,0,0.9625788357933199,0.03742116420664693,0,0.9999999999999656,0.0,0,0.961645869328129,0.0317037630125707
AND4_X1__0_1.png,0.08513808250427246,7058.0,5.0,139.5017124290749,0.0016827583312988281,10.490515299247992,0.515038115269655,0.48496188473032825,0.9293597624145057,0.07064023758546666,0,0.33601608210792966,0.6639839178920524,0.17551774933240133,0.8244822506675805,0.03817693453382171,0.96182306546616,0.5143612306660248,0.48563876933394856,0.274893774247175,0.7251062257527969,0.061839992498914045,0.9381600075010567,0.9084000755924049,0.09159992440756852,0,0.9552900144992986,0.04470998550067333,0,0.9999970698975635,2.9301024070790414e-06,0,0.9545623866630889,0.037397855759707554
AND4_X2__0_0.png,0.02135467529296875,2410.0,4.0,64.84570382206988,0.0005745887756347656,3.0739272464067837,0.3263970358783412,0.6736029641216192,0.8913519400652492,0.1086480599346408,0,0.18381063705434672,0.8161893629456126,0.034497043342645944,0.9655029566573134,0.0,0.9999999999999594,0.48759763110457394,0.5124023688953189,0.09732789439910884,0.9026721056007766,0.0,0.9999999999998787,0.8835507681743109,0.11644923182558188,0,0.9436474470619508,0.056352552937934695,0,0.9999999999998787,0.0,0,0.9423994050787136,0.04754839012195995
AND4_X2__0_1.png,0.02135467529296875,2410.0,4.0,64.84570382206988,0.0005745887756347656,1.9383093473631743,0.3830296224296062,0.6169703775703466,0.8842958882462351,0.11570411175365518,0,0.21235347159602205,0.7876465284039289,0.03231749556604588,0.9676825044339049,0.0,0.9999999999999508,0.4693521452427347,0.5306478547571583,0.07538131854278728,0.9246186814570981,0.0,0.9999999999998783,0.87935685535659,0.12064314464330302,0,0.941361172547249,0.05863882745263644,0,0.9999999999998783,0.0,0,0.9402393426345724,0.04925874517362426
AND4_X4__0_0.png,0.023675918579101562,2566.0,2.0,66.30504309930814,0.0006117820739746094,4.072923453963116,0.29994851102637043,0.7000514889735959,0.9051276015613385,0.09487239843856345,0,0.1201744372206944,0.8798255627792707,0.008795129923303651,0.9912048700766615,0.0,0.9999999999999651,0.32509927478137873,0.6749007252185281,0.025073511881106944,0.9749264881187938,0.0,0.9999999999998948,0.8849810772012077,0.11501892279869917,0,0.9431276325199731,0.0568723674799276,0,0.9999999999998948,0.0,0,0.9427029032403585,0.046957239034844646
